标题,星级,内容,标签
The Best Frequent Flyer program and airline lounge I have experienced.,5,"Cathay Pacific airways (it is Cathay Dragon Airlines now) has the best airlines lounge (both Food and Interior Design) and frequent flyer program as per my personal experience after trying China Airline, EVA, Thai Airway, Vietnam Airlines, Garuda airlines, Eastern airlines, Air China, China southern airlines (airlines in Asia is better than the airlines from Europe and States in general...",North Asia' 'Business Class' 'Hong Kong - Taipei
Great airline especially with a status,5,Cathay has always been dubbed as one of the best airliens in the region. Cathay has rather a relaxed upgrade policy compared to other competitors in the region. High chance of upgrade if you're loyal to them!,Southeast Asia' 'Premium Economy' 'Hong Kong - Manila
A+++ Best Customer Service !!!,5,"When traveling from Jakarta to Nagoya, Japan my suitcase got damaged and the customer service department was already closed, the day after I wrote them an email with my issue of a damage suitcase, after few hours I got an email back acknowledging the situation and asking me for few more details, and to make it short after few days...",North Asia' 'Economy' 'Jakarta - Nagoya
Cabin flight of 2-4-2,3,"The seat is narrow although I have a small size body, not feeling comfortable than before. And the back can’t adjust front and back, guess my ticket is not Premium E price. The food quality declined so make many food waste, I rather have cup noodles instead.
The Cathy Pacific quality in few years ago were much better and price...",North Asia' 'Economy' 'Hong Kong - Osaka
Horrendous,2,We booked a Canadian Holiday in Aug/Sept. 217 and because we had a great deal we had to pay the total when booking. We flew out of Perth on the 29 June 218 Upon arrival at the Perth International Airport we were second in line to have our tickets validated for our flight to Hong Kong and then on to...,International' 'Economy' 'Perth - Vancouver
Great Flight,5,"We flew business class it was very comfortable nice food friendly flight attendants.
In flight entertainment was OK",International' 'Business Class' 'Sydney - London
Polite and Efficient Service,4,"I have flown Cathay Pacific before and this flight lived up to my expectations. The business class fares with Cathay, while not the cheapest, are reasonably priced, particularly considering the long distance involved from Europe to Australia. The check-in at Milan was smooth and the Lounge was well stocked, comfortable and the service excellent. The flight attendants onboard were polite...",International' 'Business Class' 'Milan - Brisbane
Terrible all round - sadly,1,We had paid $8 AUD extra to sit in the exit rows and on both legs they claimed that only 1 of the 2 of us had paid. Wasted a lot of time while they searched their systems and made phone calls to confirm. Our plane was very old and tired. Food was ok. not great just ok. Our code...,International' 'Economy' 'Brisbane - Ulaanbaatar
Expect the unexpected,2,"I prefer Cathay every time I go overseas coz of their good service .But I Think I will try other airlines on my next trip after all the experiences on my last trip. first of all , we travel of four with my family and three of them are seniors so we prefer to pay extra for seat assignment so...",International' 'Economy' 'Chicago - Manila
Not on time.,2,We use to travel in past with them to Hong Kong and decided to do so again as its a direct trip. Out of 7 flights to complete our trip only one were on time and without hassles. Floor staff at Hong Kong customer desk assume everyone is working daily with there systems and that you bother them by asking...,International' 'Economy' 'Johannesburg - Phuket
Awesome Flight,5,"Maybe because it was a newer aircraft or that it wasn't full but never the less, this was an enjoyable flight. Extremely comfortable seat with lots of leg room, in flight entertainment was stellar (many new t.v. series and movies) & I loved the meal (a baked chicken roll)! Staff was kind enough to give me a second serving?Flight CX...",North Asia' 'Economy' 'Hong Kong - Taipei
Worst check-in experience ever,1,"We try to inform about the option to take 5 kg more luggage by calling the customer service of Cathy Pacific a few days before the flight. However, the callcenter made kind of reservation which resulted in this worst check-in experience ever at Amsterdam airport:
- error during self check-in
- waiting for 45 min to correct their mistake in...",International' 'Economy' 'Amsterdam - Hong Kong
Pricy but worht it,5,"I always try to fly CP (Cathy Pacific) its a little more expensive than US airlines or Air Canada an airline I try to avoid but the extra cost for 12 hr flight is worth it
The aircraft are cleaned and well maintained, the check in and boarding process is great and quick
I was a little overweight in luggage...",International' 'Economy' 'Hong Kong - Vancouver
"compagnia perfetta, programma punti una truffa",5,"The Asia Miles program is a scam...
I had 39. expiring miles to redeem, so instead of flying directly to Shanghai, I chose to connect from HK.
From the Cathay office in Italy, I was told that I needed to buy the most expensive Premium Economy ticket, in order to upgrade to business: so did I, and only then they...",International' 'Premium Economy' 'Milan - Hong Kong
